10 Mbps | 10 Мегабит в секунду скорость передачи в сети Ethernet
DUA: Directory User Agent.| - Программа, обеспечивающая доступ к X.500 Directory Service по запросу пользователя каталога. Пользователь каталога может быть человеком или другой программой.
DXI (Data Exchange Interface - интерфейс обмена данными)| - Протокол, используемый между маршрутизатором и DSU для SMDS и ATM.
E
E & M Signaling |- Система передачи голоса, использующая различные пути для передачи и приема сигналов. M (mouth - рот) передает речь на другой конец линии, аE (ear ухо) принимает входные сигналы.
E1 |- Используемая в Европе цифровая сеть передачи данных с полосой 2.048 Mbps.
E3| - Европейский стандарт для высокоскоростной (34 Mbps) передачи цифровых данных.
EARN (European Academic Research Network. Европейская академическая сеть)| - Сеть, использующая технологию BITNET для объединения университетов и исследовательских центров в Европе.
Echo Cancellation (подавление эхо)| - Метод, используемый в высокоскоростных модемах и голосовых устройствах, который позволяет избавиться от паразитных отраженных сигналов.
Echo-Signal (эхо-сигнал)| - Сигнал, полученный отправителем исходного сигнала за счет отражения последнего на другом конце линии.
EGP: Exterior Gateway Protocol.| - Протокол маршрутизации, используемый шлюзами двухуровневой сети. EGP используется в ядре Internet. См. также core gateway.
EIA (Electronic Industries Association Ассоциация электронной промышленности)|- Объединяющая производителей электронного оборудования организация со штаб-квартирой в Вашингтоне. Основная задача ассоциации - разработка электрический и функциональных спецификаций интерфейсного оборудования. Одной из наиболее известных разработок ассоциации является интерфейс RS-232C.
EIA/TIA-232-E| - Определенная ANSI спецификация интерфейса между терминальным оборудование (DTE) и оборудованием передачи данных (DCE). Этот интерфейс зачастую называют RS-232C.
EIA/TIA-422-B |- Последовательный интерфейс, часто называемый RS-422
EMI (Electromagnetic Interference электромагнитное излучение [помехи])| - Излучение, проникающее за пределы среды передачи, главным образом за счет использования высоких частот для несущей и модуляции. Паразитное излучение можно снизить за счет экранирования.

F
FARNET: Federation of American Research NETworks.| - Федеральные американские исследовательские сети.
FCC (Federal Communications Commission | Федеральная Комиссия Связи) - Государственное агенство США, занимающееяся регулированием в области передачи по кабельным линиям и радиоканалам. Основана в 1934 г. на основании Акта о системах связи. В частности FCC занимается вопросами регламентации паразитных излучений от каналов и устройств, используемых для связи.
FDDI: Fiber Distributed Data Interface.| - Высокоскоростной сетевой стандарт. Средой передачи данных является оптическое волокно, а топология представляет собой кольцо Token Ring с двойным подключением.
FEP (Front End Processor - связной процессор, коммуникационный процессор)| - Коммуникационное устройство в среде IBM/SNA, обеспечивающее связь между мэйнфреймом и кластерными контроллерами. Коммуникационный процессор целиком выделяется для обработки передаваемой информации, контроля и устранения ошибок, кодирование сообщений, управление линией связи и т.п.)
Fiber Optics (волоконная оптика)| - Стеклянная или полимерная среда для передачи световых пучкой, гененрируемых светодиодом или лазером.
FIPS: Federal Information Processing Standard.| - Федеральный стандарт обработки информации.
Flame |- Очень оживленное обсуждение какого-либо вопроса в сети, обычно начинающееся с чего-либо зажигательного письма. Особенно отличается флэймом сеть FIDO.
FNC (Federal Networking Council |- федеральный совет по сетям) - Организация, ответственная за удовлетворение сетевых потребностей федеральных агенств США.
Four-Wire Circuit (четырехпроводное устройство/канал) |- Коммуникационный канал, состоящий из двух пар проводников, одна из которых используется для приема, вторая - для передачи.
FPS (Fast Packet Switching)| - Быстрая коммутация пакетов
G
G.703 |- Стандарт ITU для протокола и электрических характеристик различных цифровых интерфейсов с полосой от 64 kbps до 2,048 Mbps.
Gateway (шлюз)| - Оригинальный термин Internet сейчас для обозначения таких устройств используется термин маршрутизатор (router) или более точно маршрутизатор IP. В современном варианте термины "gateway" и "application gateway" используются для обозначения систем, выполняющих преобразование из одного естественного формата в другой. Примером шлюза может служить преобразователь X.400 - RFC 822 electronic mail. См. также router.
GOSIP: Government OSI Profile. |- Поддерживаемые государством спецификации для протоколов OSI в США.
H|Half Duplex (полудуплексный)| - Устройство или канал, способный в каждый момент только передавать или принимать информацию. Прием и передача, таким образом, должны выполняться поочередно.
HDLC (High-level Data Link Control - высокоуровневый протокол управления каналом)| - Международный коммуникационный протокол, разработанный ISO.
HDSL (High Bit-Rate Digital Subscriber Line) |- Технология высокоскоростной передачи по кабелям на основе скрученных медных пар. HDSL используется для организации каналов T1 и E1, служащих для обмена данными между потребителем и поставщиком телекоммуникационных услуг.
Hello Protocol (протокол приветствия)| - Часть протокола OSPF, используемая для организации и поддержки связей между соседями. В сетях с множественным доступом (multiaccess), Hello Protocol может также динамически обнаруживать соседние маршрутизаторы.
I
I-Router, Integration Router| - Семейство продуктов компании MICOM, обеспечивающих передачу трафика ЛВС и голоса между двумя или несколькими физически разделенными сайтами с возможностью одновременной передачи синхронных и асинхронных данных. Одним из интеграционных маршрутизаторов является NetRunner 75Е.
IAB: Internet Activities Board. |- Техническая группа, отвечающая за развитие набора протоколов Internet (в общем случае называемого TCP/IP). Группа делится на две части - IRTF и IETF, каждая из которых занимается решением своих задач.
ICMP: Internet Control Message Protocol. |- Протокол, используемый для контроля за ошибками и сообщениями на уровне IP. В действительности ICMP представляет собой часть протокола IP.
IEEE (Institute of Electrical and Electronic Engineers |- Институт инженеров по электротехнике и радиоэлектронике) - Профессиональное объединение, выпускающие свои собственные стандарты. Членами IEEE являются ANSI и ISO.
IEEE 802.3 |- Спецификация IEEE для локальных сетей CSMA/CD.
IEEE 802.5 |- Спецификация IEEE для локальных сетей Token Ring.
IESG: Internet Engineering Steering Group.| - Исполнительный комитет IETF.
IETF (Internet Engineering Task Force)| - Одна из групп IAB совета по архитектуре Internet. IETF отвечает за решение инженерных задач Internet. Включает более 40 рабочих групп. IETF выпускает большинство RFC, используемых производителями для внедрения стандартов в архитектуру TCP/IP.
IGP: Interior Gateway Protocol.| - Протокол, используемый для обмена информацией о маршрутизации между совместно работающими маршрутизаторами в сети Internet. Примерами IGP являются RIP и OSPF.
IGRP: Internet Gateway Routing Protocol.| - Частный протокол IGP, используемый маршрутизаторами Cisco System.
ILI (Intelligent Link Interface) - интеллектуальный канальный интерфейс| - В маршрутизаторах Bay Networks - агрегат из канального модуля и соединенного с ним процессорного модуля. Между собой ILI соединяются с помощью высокоскоростной внутренней шины. Каждый ILI полностью обрабатывает пакеты, адресованные любому из портов своего канального модуля.
In-Band Signaling - передача сигналов внутри полосы |- Передача сигналов управления в пределах полосы частот, используемых для передачи основной информации.
ISDN: Integrated Services Digital Network (Цифровая сеть с интеграцией услуг).| - Технология, предложенная изначально для международной телефонной связи. ISDN объединяет голосовые и цифровые сети в единой среде, давая пользователю возможность передачи по сети голоса и данных. Стандарты, управляющие ISDN, создаются CCITT.
IS-IS: Intermediate system to Intermediate system protocol.| - Протокол OSI, с помощью которого промежуточные системы (intermediate systems) обмениваются информацией о маршрутизации.
ISO (International Organization for Standardization| - Международная организация по стандартизации) - Ассоциация национальных организаций по стандартизации, обеспечивающая разработку и поддержку глобальных стандартов в сфере коммуникаций и обмена информацией. Хорошо известна семиуровневая модель OSI/ISO, определяющая стандарты взаимодействия компьютеров в сетях. См. такжеOSI.
ISODE: ISO Development Environment.| - Популярная реализация верхних уровней модели OSI. Произносится как eye-so-dee-eee.
ITU (International Telecommunication Union |- Международный телекоммуникационный союз) - Международная организация, основанная европейскими странами для разработки международных стандартов в области передачи информации.
J
JANET: Joint Academic Network.| - Университетская сеть Великобритании.
Jitter (дрожь)| - Отклонения фазы или частоты передаваемого сигнала. Дрожь может приводить к возникновению ошибок или потере синхронизации при высокоскоростной передаче.
JUNET: Japan UNIX Network.| - Японские UNIX-сети
K
KA9Q| - Популярная реализация TCP/IP и связанных протоколов для любительских пакетных радиосистем.
Kermit| - Популярная программа переноса файлов и эмуляции терминала.
L
LES (LAN Emulation server)| - Сервер эмуляции ЛВС.
Leased Line (арендованная линия)| - Линия, зарезервированная для исключительного использования заказчиком без коммутации (постоянное соединение). В русском языке чаще используется термин "выделенная линия".
|||Line Driver (драйвер линии) |- Преобразователь сигнала, обеспечивающий усиление для передачи на значительные расстояния. См. short haul modem
Link State Advertisement |- Описывает локальное состояние маршрутизатора или сети, включая состояние интерфейсов и смежные маршрутизаторы. Информация LSA передается через весь домен. На основе этой информации маршртуизаторы формируют базу данных о протоколах и топологии сети.
Little-endian |- Формат хранения и передачи двоичных данных, при котором сначала передается младший (наименее значимый) бит (байт). См. также big-endian. Термин происходит от "остроконечников" и "тупоконечников" из "Путешествия Гулливера" Джонатана Свифта.
Loading (загрузка)| - В коммуникацонной сфере добавление индуктивности к линии для минимизации амплитудных искажений. Применяется на телефонных линиях общего пользования для повышения качества голосовой связи. Однако при передаче данных, загрузка линии может сильно ограничить скорость и сделать невозможным использование baseband-модемов.
Loopback (обратная, возвратная петля)| - Тип диагностического теста, при котором сигнал возвращается передающему устройству, пройдя по коммуникационному каналу в обоих направлениях.
M
Modem (Modulator-Demodulator - модулятор-демодулятор)| - Устройство, используемое для преобразования последовательности цифровых данных из передающего DTE в сигнал, подходящий для передачи на значительное расстояние. В случае приема выполняется обратное преобразование и данные воспринимаются приемным DTE
Modem Eliminator (заменитель модема) |- Устройство, используемое для соединения локального терминала с портом компьютера. Данное устройство заменяет собой пару модемов, требуемых при обычном подключении.
Modulation (модуляция)| - Изменение параметров несущей в соответствии с передаваемым сигналом. Для модуляции обычно используется амплитуда, фаза или частота сигнала.
MPMLQ (Multipulse Maximum Likelihood Quantization)| - Технология сжатия речи (стандарт ITU G.723.1), обеспечивающая малую полосу, эффективное управление и минимальный уровень искажений.
MTA: Message Transfer Agent (Агент передачи сообщений).| - Прикладной процесс OSI, используемый для сохранения и пересылки сообщений в X.400 Message Handling System. Эквивалент почтового агента Internet.
MTU: Maximum Transmission Unit.| - Максимально возможный модуль данных, который можно передать через данную физическую среду. Пример: MTU для Ethernet составляет 1500 байт. См. также fragmentation.
Multicast |- Специальная форма широковещания, при которой копии пакетов доставляются только подмножеству всех возможных адресатов. См. также broadcast.
Multidrop (многоточечная линия, моноканал) |- Конфигурация коммуникационных устройств, при которой несколько устройств разделяют общую среду, хотя в каждый момент времени передачу может вести только одно устройство. Обычно используется с тем или иным механизмом опроса (polling), обеспечивающим уникальную адресацию каждого устройства.
Multi-homed host| - Компьютер, присоединенный к нескольким физическим линиям данных. Эти линии могут относиться как к одной, так и к различным сетям.
Multiaccess Networks| - Физическая сеть, допускающая подключение трех или более маршрутизаторов. Каждая пара маршрутизаторов в такой сети способна взаимодействовать напрямую.
Multicasting| - Доставка пакетов от одного отправителя к нескольким получателям с репликацией пакетов только при необходимости.
Multiplexer (Mux - мультиплексор)| - Устройство, позволяющее передавать по одной линии несколько сигналов одновременно.
||N
Name resolution (разрешение имен)| - Процесс преобразования имени в соответствующий адрес. См. DNS.
NDIS |- Спецификация стандартного интерфейса сетевых адаптеров, разработанная компанией Microsoft для того, чтобы сделать коммуникационные протоколы независимыми от сетевого оборудования ПК. Драйвер может работать одновременно с несколькими стеками протоколов.
Neighboring Routers (соседние маршрутизаторы)| - Два маршрутизатора, подключенные к одной сети. В сетях с множественным доступом, соседи определяются динамически с помощью протокола OSPF Hello.
NetBEUI - NetBIOS Extended User Interface.| - Транспортный протокол, используемый Microsoft LAN Manager, Windows for Workgroups, Windows NT и других сетевых ОС.
NetBIOS: Network Basic Input Output System (Сетевая базовая система ввода-вывода). |- Стандартный сетевой интерфейс, предложенный для IBM PC и совместимых систем.
Network - сеть - 1.| Соединение группы узлов (компьютеров или других устройств). 2. Группа точек, узлов или станций, соединенных коммуникационными каналами и набор оборудования, обеспечивающего соединение станций и передачу между ними информации.
Network Layer (Сетевой уровень)| - Уровень модели OSI, отвечающий за маршрутизацию, переключение и доступ к подсетям через всю среду OSI.
Network Management System |- система управления сетью - Система оборудования и программ, используемая для мониторинга, управления и администрирования в сети передачи данных.
Network Mask | 32-битовое число, показывающее диапазон IP-адресов, находящихся в одной IP-сети/подсети.
NFS(R): Network File System (Сетевая файловая система).| - Распределенная файловая система, разработанная компанией Sun Microsystems и позволяющая группе компьютеров прозрачный совместный доступ к файлам друг друга.
NSFNET: National Science Foundation NETwork.| - Группа локальных, региональных и mid-level сетей в США, объединенных высокоскоростной магистралью (backbone). NSFNET обеспечивает доступ научных работников к большому числу суперкомпьютеров, расположенных по всей стране.
O
Object (объект) |- Объект в контексте управления сетью числовое значение, характеризующее тот или иной параметр управляемого устройства. Последовательность чисел, разделенных точкой, определяющая объект внутри MIB, называется идентификатором объекта.
ODI - Open Data Link Interface| - Разработанная компанией Novell спецификация стандартного интерфейса, позволяющая использовать несколько протоколов с одним сетевым адаптером.
OIW: Workshop for Implementors of OSI.| - Часто называется NIST OIW или NIST Workshop и является северо-американским региональным центром, определяющим способы реализации рекомендаций OSI. В Европе аналогичные задачи решает EWOS, в тихоокеанском регионе AOW.
ONC(tm): Open Network Computing.| - Распределенная архитектура приложений, развиваемая и управляемая консорциумом во главе с Sun Microsystems.
OSI: Open Systems Interconnection.| - Международная программа стандартизации обмена данными между компьютерными системами различных производителей. См. также ISO.
OSI model, Open Systems Interconnection model| - Семиуровневая иерархическая модель, разработанная Международным комитетом по стандартизации (ISO) для определения, спецификации и связи сетевых протоколов.
OSI Network Address| - Адрес, содержащий до 20 октетов, используемых для локализации Транспортной части OSI (OSI Transport entity). Адрес форматируется в Доменную часть (Initial Domain Part), которая стандартизована для каждого из нескольких адресных доменов и Определяемую доменом часть (Domain Specific Part), которая отвечает за адресацию внутри домена.
OSI Presentation Address |- Адрес, используемый для локализации Прикладной части OSI (OSI Application entity). Этот адрес состоит из сетевого адреса OSI (OSI Network Address) и селекторов (до трех), определяющих сущность Transport, Session, Presentation ).
OSPF: Open Shortest Path First.|| - Иерархический алгоритм маршрутизации, при котором путь выбирается на основании информации о состоянии канала (Link state), Разработан на основе протокола RIP. Стандарт IGP для Internet. См. IGP.
P
Packet - пакет| - Упорядоченная совокупность данных и управляющей информации, передаваемая через сеть как часть сообщения.
Packet Switching - коммутация пакетов| - Метод передачи данных, при котором информация делится на дискретные фрагменты, называемые пакетами. Пакеты передаются последовательно - один за другим.
Parity Bit - бит четности| - Дополнительный бит, добавляемый в группу для того, чтобы общее число единиц в группе было четным или нечетным (в зависимости от протокола).
PBX (Private Branch Exchange) |- Телефонная станция, не включенная в общедоступные сети (например, офисная АТС).
PCI: Protocol Control Information.| - Протокольная информация, добавляемая сущностью OSI для обслуживания модулей данных, передаваемых вниз с вышележащего уровня. Эта информация вместе с данными пользователя образует Модуль данных протокола (Protocol Data Unit - PDU).
Protocol (протокол)| - Формат описания передаваемых сообщений и правила, по которым происходит обмен информацией между двумя или несколькими системами.
Proxy |- Механизм, посредством которого одна система представляет другую в ответ на запросы протокола. Proxy-системы используются в сетевом управлении, чтобы избавиться от необходимости реализации полного стека протоколов для таких простых устройств, как модемы.
Proxy ARP| - Метод, при котором одна машина, обычно маршрутизатор, обрабатывает запросы ARP вместо другой машины. За счет такой подмены маршрутизатор берет на себя ответственность за маршрутизацию пакетов реальному адресату. Proxy ARP позволяет сайту использовать единственный IP-адрес для двух физических сетей. Более разумным решением является, однако, использование подсетей.
PSN: Packet Switch Node. |- Современный термин, используемый для узлов в сетях ARPANET и MILNET. Эти узлы служат для вызова IMP (Interface Message Processors). PSN в настоящее время реализуются на миникомпьютерах BBN C30 или C300.
PSTN (Public Switched Telephone Network|- коммутируемая телефонная сеть общего пользования) - Коммуникационная сеть, для доступа к которой используются обычные телефонные аппараты, мини-АТС и оборудование передачи данных.
PVC - Permanent Virtual Circuit| - Постоянный виртуальный канал постоянно существующее соединение между двумя конечными точками сети.
Q
QoS (Quality of Service)| - Качество и класс предоставляемых услуг передачи данных. QoS обычно описывает сеть в терминах задержки, полосы и дрожи сигнала.
R
RARE: Reseaux Associes pour la Recherche Europeenne.| - Европейская ассоциация исследовательских сетей.
RARP: Reverse Address Resolution Protocol. |- Протокол Internet для бездисковых хостов, используемый для поиска адреса Internet при старте. RARP преобразует физические (аппаратные) адреса в адреса Internet. См. также ARP.
|Redundancy/Redundant Card (Power) |- Резервные компоненты, используемые для обеспечения бесперебойной работы устройства или системы. При выходе из строя основного модуля, его функции автоматически берет на себя резервный.
Repeater (повторитель) |- Устройство, которое передает электрические сигналы из одного кабеля в другой без маршрутизации или фильтрации пакетов. В терминах OSI репитер представляет собой промежуточное устройство Физического уровня. См. также bridge и router.
Reseaux IP Europeenne.| - Европейская континентальная сеть TCP/IP, управляемаяEUnet.
Resource Reservation| - Процесс резервирования ресурсов сети и хостов для обеспечения качества сервиса (QoS) для приложений.
RFC: Request For Comments. |- Серия документов, начатая в 1969 году и содержащая описания набора протоколов Internet и связанную с ними информацию. Не все (фактически, очень немногие) RFC описывают стандарты Internet, но все стандарты Internet описаны в RFC. Документы RFC можно найти на сервере InterNIC
RFS: Remote File System.| - Распределенная файловая система, подобная NFS, разработанная компанией AT&T и распространяемая ей со своей операционной системой UNIX System V. См. также NFS.
RIP: Routing Information Protocol.| - Протокол Interior Gateway Protocol (IGP), поставляющийся с Berkeley UNIX. В сетях IP, протокол RIP является внутренним протоколом маршрутизации, используемом для обмена информацией между сетями. В сетях IPX, RIP является динамическим протоколом, используемым для сбора информации о сети и управления ею.
RIPE: Reseaux IP Europeenne.| - Европейская континентальная сеть TCP/IP, управляемая EUnet. См. EUnet.
Rlogin |- Услуга, предлагаемая Berkeley UNIX и позволяющая одной машине подключаться к другим UNIX-системам (в которых установлены для нее соответствующие полномочия) и функционировать как терминал, подключенный непосредственно. См. также Telnet.
RMON| - Модуль удаленного мониторинга, позволяющий собирать информацию об устройстве и управлять им через сеть.
Run Length Compression| - Развитая компанией MICOM технология сжатия повторяющихся последовательностей символов.
S
SAP: Service Access Point.| - Точка, в которой услуга какого-либо уровня OSI становится доступной ближайшему вышележащему уровню. SAP именуются в соответствии с уровнями, обеспечивающими сервис: например, Транспортные услуги обеспечиваются с помощью Transport SAP (TSAP) на верхней части Транспортного уровня.
SAP Service Advertising Protocol.| - В сетях IPX этот протокол используется файловыми серверами для передачи информации о своей доступности и имени клиентам.
SDH (Synchronous Data Hierarchy)| - Европейский стандарт на использование оптических кабелей в качестве физической среды передачи данных для скоростных сетей передачи на значительные расстояния.
SDLC (Synchronous Data Link Control).| - Протокол IBM для использования в среде SNA.
SDLC| - Протокол передачи битовых потоков, подобный HDLC.
Selector (селектор)| - Идентификатор, используемый машиной протокола OSI (entity) для обозначения многочисленных SAP, обеспечивающих сервис для вышележащего уровня. См. также port.
SONET (Synchronous Optical NETwork - синхронная оптическая сеть)| - Стандарт на использование оптических кабелей в качестве физической среды передачи данных для скоростных сетей передачи на значительные расстояния. Базовая скорость SONET составляет 51.84 Mbps и может быть увеличена до 2.5 Gbps.
Space - пауза|- В телекоммуникациях - отсутствие сигнала. Пауза эквивалентна логическому нулю.
SPAG: Standards Promotion and Application Group.| - Группа европейских производителей, выбравших и опубликовавших "Guide to the Use of Standards" (GUS).
SQL: Structured Query Language.| - Международный стандартный язык для определения и доступа к реляционным базам данных.
Statistical Multiplexer (STM или STDM - статистический мультиплексор) |- Устройство, объединяющее множество каналов в один за счет динамического выделения промежутков времени (timeslot) для передачи данных каждому каналу на основе его активности.
STP (Shielded Twisted Pairs - экранированные скрученные пары)| - термин, используемый для кабельных систем на основе экранированных скрученных пар медных проводников.
Sub-rate Multiplexing| - В США этот термин используется для обозначения систем с мультиплексированием на основе разделения времени при скоростях менее 64 kbps.
Subnet mask (маска подсети)| - См. также address mask.
Subnetwork (подсеть)| - Набор конечных и промежуточных систем OSI, управляемых одним административным доменом и использующих единый протокол доступа к сети. Примерами могут служить частные сети X.25, ЛВС с мостами.
SVC-Switched virtual circuit| - Коммутируемая виртуальная связь временно существующее виртуальное соединение между двумя пользователями.
Switched 56| - Система передачи данных, обеспечивающая полнодуплексный цифровой синхронный обмен данными со скоростью 56Kbps.
Synchronous Transmission - синхронная передача |- Режим передачи, при котором биты данных пересылаются с фиксированной скоростью, а приемник и передатчик синхронизированы.
T
T1 |- Термин, используемый компанией AT&T для обозначения каналов передачи цифровых данных в коде DS1 с полосой 1.544 Mbps. Линия Е1 делится на 24 канала (timeslot).
T3 |- Cтандарт для высокоскоростной передачи цифровых данных.
TCP: Transmission Control Protocol.| - Основной транспортный протокол в наборе протоколов Internet, обеспечивающий надежные, ориентированные на соединения, полнодуплексные потоки. Для доставки данных используется протокол. См. TP4.
TCP/IP (Transmission Control Protocol/Internet Protocol| - протокол управления передачей/протокол Internet) - Известен также как стек протоколов Internet (Internet Protocol Suite). Данный стек протоколов используется в семействе сетей Internet и для объединения гетерогенных сетей.
TDM (Time Division Multiplexer - мультиплексор с разделением времени)| - Устройство, разделяющее время доступа к скоростному каналу между подключенными к мультиплексору низкоскоростными линиями для передачи чередующихся битов (Bit TDM) или символов (Character TDM) данных от каждого терминала.
Telnet| - Протокол виртуального терминала в наборе протоколов Internet. Позволяет пользователям одного хоста подключаться к другому удаленному хосту и работать с ним как через обычный терминал.
Three-way-handshake| - Процесс, при помощи которого две машины протоколов синхронизируются при организации соединения.
Token Ring |||- Спецификация локальной сети, стандартизованная в IEEE 802.5. Кадр управления (supervisory frame), называемый также маркером (token), последовательно передается от станции к соседней. Станция, которая хочет получить доступ к среде передачи, должна ждать получения кадра и только после этого может начать передачу данных.
TP0: OSI Transport Protocol Class 0 (Simple Class).| - Простейший транспортный протокол OSI, полезный только для сетей X.25 (или других сетей, где невозможна потеря ил искажение данных).
TP4: OSI Transport Protocol Class 4 (Error Detection and RecoveryClass).| - Наиболее мощный из транспортных протоколов OSI, полезный для сетей любого типа. TP4 является в OSI эквивалентом TCP.
Transceiver (трансивер) |- Приемник-передатчик. Физическое устройство, которое соединяет интерфейс хоста с локальной сетью, такой как Ethernet. Трансиверы Ethernet содержат электронные устройства, передающие сигнал в кабель и детектирующие коллизии
Transport Layer (Транспортный уровень)| - Уровень модели OSI, отвечающий за надежную передачу данных между конечными системами.
Trunk - транк| - Устройство или канал, соединяющее две точки, каждая из которых является коммутационным центром или точкой распределения. Обычно транк работает с несколькими каналами одновременно.
U
UA (User Agent)| - Прикладной процесс OSI, представляющий пользователя или организацию в X.400 Message Handling System. Создает, передает и обеспечивает доставку сообщений для пользователя.
UART (Universal Asynchronous Receiver Transmitter)| - Универсальный асинхронный приемо-передатчик с буферизацией данных по принципу FIFO, обеспечивающий режим обмена данными через последовательный порт с высокой скоростью.
UDP (User Datagram Protocol)| - Прозрачный протокол в группе протоколов Internet. UDP, подобно TCP, использует IP для доставки; однако, в отличие от TCP, UDP обеспечивает обмен дейтаграммами без подтверждения млм гарантий доставки. См. также CLTP.
Unbalanced Line - несбалансированная линия| - Коммуникационная линия, в которой один из проводников используется для передачи сигнала, а второй служит заземляющим (например, коаксиальный кабель).
UNI (User Network Interface) |- Набор правил, определяющих взаимодействие оконечного оборудования и сети ATM с физической и информационной точкой зрения.
USD (User datagram Protocol)| - Протокол пользовательских дейтаграмм.
UTP (Unshielded Twisted Pair |- неэкранированные скрученные пары) - Общий термин, используемый для обозначения кабельных систем на основе неэкранированных скрученных попарно медных проводников. используется также термин "витая пара".
UUCP: UNIX to UNIX Copy Program.| - Протокол используемый для обмена между согласованными UNIX-системами.
V
VCI (Virtual Channel Identifier)| - Идентификатор виртуального канала.
VPI (Virtual Path Identifier) |- Идентификатор виртуального пути.
W
WAN (Wide-Area Network - Глобальная сеть)| - Сеть, обеспечивающая передачу информации на значительные расстояния с использованием коммутируемых и выделенных линий или специальных каналов связи.
WINS (Windows Internet Naming Service)| - Служба имен Internet для Windows, предложенная Microsoft. WINS представляет собой базу данных имен компьютеров и связанных с ними IP-адресов в среде TCP/IP. База данных автоматически обновляется WINS-клиентами при назначении адресов серверами DHCP.
X
X.25| - Рекомендации ITU - TSS (ранее CCITT МККТТ), определяющие стандарты для коммуникационных протоколов доступа к сетям с коммутацией пакетов (packet data networks - PDN).
X-ON/X-OFF (Transmitter On/Transmitter Off - передатчик включен/выключен)| - Управляющие символы, сообщающие терминалу о начале (X-ON) или окончании (X-OFF) передачи.
XDR: eXternal Data Representation.| - Стандарт для аппаратно-независимых структур данных, разработанных фирмой Sun Microsystems. Похож на ASN.1.
X/Open| - Группа производителей компьютеров, продвигающих разработку переносимых систем на основе UNIX. Эта организация публикует документы, называемые X/Open Portability Guide.
X Recommendations| - Документы CCITT, описывающие сетевые стандарты передачи данных. К числу широко известных документов относятся: X.25 Packet Switching standard, X.400 Message Handling System и X.500 Directory Services.
XNS/ITP, Xerox Network Systems' Internet Transport Protocol| - Специальный коммуникационный протокол используемый в сетях. Функции XNS/ITP расположены на уровнях 3 и 4 модели (OSI). Данный протокол схож с TCP/IP.
